type,name,value,date
CLANNAD ~After Story~,8,0,2011-06-20
CLANNAD ~After Story~,8,0,2011-06-21
CLANNAD ~After Story~,8,17,2011-06-22
CLANNAD ~After Story~,8,32,2011-06-23
CLANNAD ~After Story~,8,36,2011-06-24
CLANNAD ~After Story~,8,49,2011-06-25
CLANNAD ~After Story~,8,55,2011-06-26
CLANNAD ~After Story~,8,58,2011-06-27
CLANNAD ~After Story~,8,77,2011-06-29
CLANNAD ~After Story~,8,80,2011-06-30
CLANNAD ~After Story~,8,81,2011-07-01
CLANNAD ~After Story~,8,82,2011-07-02
CLANNAD ~After Story~,8,87,2011-07-04
CLANNAD ~After Story~,8,89,2011-07-05
CLANNAD ~After Story~,8,93,2011-07-06
CLANNAD ~After Story~,8,94,2011-07-07
CLANNAD ~After Story~,8,97,2011-07-09
CLANNAD ~After Story~,8,104,2011-07-12
CLANNAD ~After Story~,8,108,2011-07-13
CLANNAD ~After Story~,8,110,2011-07-14
CLANNAD ~After Story~,8,116,2011-07-16
CLANNAD ~After Story~,8,114,2011-07-15
CLANNAD ~After Story~,8,118,2011-07-19
CLANNAD ~After Story~,8,125,2011-07-20
CLANNAD ~After Story~,8,128,2011-07-21
CLANNAD ~After Story~,8,129,2011-07-22
CLANNAD ~After Story~,8,139,2011-07-24
CLANNAD ~After Story~,8,160,2011-07-26
CLANNAD ~After Story~,8,161,2011-07-27
CLANNAD ~After Story~,8,166,2011-07-28
CLANNAD ~After Story~,8,173,2011-07-30
CLANNAD ~After Story~,8,397,2011-11-17
CLANNAD ~After Story~,8,176,2011-07-31
CLANNAD ~After Story~,8,177,2011-08-01
CLANNAD ~After Story~,8,178,2011-08-02
CLANNAD ~After Story~,8,179,2011-08-03
CLANNAD ~After Story~,8,180,2011-08-05
CLANNAD ~After Story~,8,183,2011-08-08
CLANNAD ~After Story~,8,193,2011-08-09
CLANNAD ~After Story~,8,200,2011-08-10
CLANNAD ~After Story~,8,203,2011-08-11
CLANNAD ~After Story~,8,206,2011-08-12
CLANNAD ~After Story~,8,208,2011-08-15
CLANNAD ~After Story~,8,211,2011-08-16
CLANNAD ~After Story~,8,213,2011-08-17
CLANNAD ~After Story~,8,219,2011-08-18
CLANNAD ~After Story~,8,234,2011-08-22
CLANNAD ~After Story~,8,250,2011-08-23
CLANNAD ~After Story~,8,264,2011-08-28
CLANNAD ~After Story~,8,265,2011-08-31
CLANNAD ~After Story~,8,266,2011-09-01
CLANNAD ~After Story~,8,267,2011-09-03
CLANNAD ~After Story~,8,279,2011-09-05
CLANNAD ~After Story~,8,282,2011-09-06
CLANNAD ~After Story~,8,284,2011-09-08
CLANNAD ~After Story~,8,398,2011-11-19
CLANNAD ~After Story~,8,285,2011-09-10
CLANNAD ~After Story~,8,297,2011-09-11
